,species,state minimum length (inches),state record (pounds)
0,atlantic salmon,32,32.63
1,bigmouth buffalo,32,33
2,black buffalo,26,54.3
3,black bullhead,14,3.44
4,black crappie,14,4.13
5,bluegill,10,2.75
6,bowfin,27,14
7,brook trout,15,9.5
8,brown bullhead,14,3.77
9,brown trout,24,41.45
10,burbot,26,18.25
11,channel catfish,29,40
12,chinook salmon,39,47.54
13,coho salmon,31,30.56
14,common carp,30,61.5
15,flathead catfish,29,52
16,freshwater drum,25,28.63
17,gizzard shad,16,4.13
18,green sunfish,9,1.5
19,hybrid sunfish,10,1.8
20,lake herring,16,6.36
21,lake sturgeon,50,193
22,lake trout,34,61.5
23,lake whitefish,23,14.28
24,largemouth bass,22,11.94
25,longnose gar,32,18
26,longnose sucker,17,6.88
27,muskellunge,46,51.19
28,muskellunge great lakes,46,58
29,muskellunge northern,46,49.75
30,northern hog sucker,13,2.5
31,northern pike,40,39
32,pink salmon,21,8.56
33,pumpkinseed,9,2.15
34,quillback,19,9.98
35,rainbow trout,32,26.5
36,redear sunfish,10,2.36
37,redhorse,22,12.89
38,rock bass,11.5,3.63
39,round whitefish-menomine,15,4
40,smallmouth bass,21,9.98
41,smelts (family),10,12
42,splake,25,17.5
43,walleye,29,17.19
44,warmouth,9,1.38
45,white bass,16,6.44
46,white crappie,14,3.38
47,white perch,10,2
48,white sucker,20,7.19
49,yellow bullhead,14,3.6
50,yellow perch,14,3.75
